Date,Open,High,Low,Close,Adj Close,Day
2013-09-23,154.110001,154.320007,153.320007,153.710007,124.327232,0
2013-09-24,153.740005,154.020004,152.949997,153.059998,123.801506,1
2013-09-25,153.259995,153.389999,152.190002,152.419998,123.283859,2
2013-09-26,152.699997,153.539993,152.470001,152.949997,123.71254,3
2013-09-27,152.300003,152.440002,151.759995,152.210007,123.113937,4
2013-09-30,150.789993,151.539993,150.449997,151,122.135284,7
2013-10-01,151,151.770004,150.770004,151.619995,122.636726,8
2013-10-02,150.899994,151.100006,150.149994,150.979996,122.11911,9
2013-10-03,150.660004,150.759995,149.169998,149.669998,121.05957,10
2013-10-04,149.679993,150.559998,149.429993,150.429993,121.674217,11
2013-10-07,149.119995,149.850006,148.910004,149,120.517548,14
2013-10-08,149,149.139999,147.5,147.529999,119.328537,15
2013-10-09,147.690002,148.320007,146.960007,147.779999,119.530731,16
2013-10-10,149.139999,151.009995,149.089996,150.960007,122.102852,17
2013-10-11,150.919998,152.220001,150.759995,152.169998,123.081566,18
2013-10-14,151.190002,152.880005,151.080002,152.800003,123.591202,21
2013-10-15,152.600006,152.800003,151.339996,151.339996,122.410202,22
2013-10-16,152.369995,153.559998,152.240005,153.520004,124.173607,23
2013-10-17,152.110001,153.589996,152.050003,153.479996,124.141159,24
2013-10-18,153.660004,153.800003,152.889999,153.600006,124.375999,25
2013-10-21,153.690002,153.759995,153.270004,153.529999,124.319351,28
2013-10-22,154.029999,154.860001,153.820007,154.25,124.902367,29
2013-10-23,153.809998,154.029999,153.320007,153.820007,124.55423,30
2013-10-24,154.190002,154.949997,154.100006,154.800003,125.34771,31
2013-10-25,154.910004,155.449997,154.789993,155.449997,125.873985,32
2013-10-28,155.199997,155.649994,154.990005,155.369995,125.809288,35
2013-10-29,155.710007,156.5,155.619995,156.5,126.724266,36
2013-10-30,156.729996,156.869995,155.369995,155.869995,126.214081,37
2013-10-31,155.610001,156.179993,155.100006,155.289993,125.744553,38
2013-11-01,155.580002,156.149994,155.080002,155.860001,126.206032,39
2013-11-04,156.259995,156.360001,155.529999,156.059998,126.367973,42
2013-11-05,155.279999,156.179993,154.869995,155.889999,126.230408,43
2013-11-06,156.490005,157.289993,156.369995,157.220001,127.30732,44
2013-11-07,157.720001,157.800003,155.679993,155.850006,126.197968,45
2013-11-08,155.660004,157.490005,155.580002,157.490005,127.52597,46
2013-11-11,157.330002,157.729996,157.149994,157.610001,127.623161,49
2013-11-12,157.419998,157.720001,156.869995,157.369995,127.428749,50
2013-11-13,156.520004,158.119995,156.5,158.059998,127.98745,51
2013-11-14,158.100006,158.809998,157.949997,158.729996,128.529938,52
2013-11-15,158.570007,159.300003,158.479996,159.300003,129.234192,53
2013-11-18,159.710007,159.949997,159.070007,159.440002,129.347794,56
2013-11-19,159.580002,159.929993,159.089996,159.330002,129.258469,57
2013-11-20,159.550003,159.880005,158.350006,158.770004,128.80426,58
2013-11-21,159.289993,159.880005,159.169998,159.860001,129.688461,59
2013-11-22,159.830002,160.429993,159.479996,160.399994,130.12648,60
2013-11-25,160.809998,160.850006,160.300003,160.610001,130.296906,63
2013-11-26,160.539993,160.970001,160.460007,160.5,130.207642,64
2013-11-27,160.789993,160.940002,160.410004,160.850006,130.491577,65
2013-11-29,161.110001,161.580002,160.580002,160.720001,130.386154,67
2013-12-02,160.759995,160.839996,159.710007,159.919998,129.737183,70
2013-12-03,159.229996,159.619995,158.460007,158.990005,128.982681,71
2013-12-04,158.460007,159.520004,157.830002,158.759995,128.796051,72
2013-12-05,158.449997,158.889999,158.009995,158.119995,128.276855,73
2013-12-06,159.529999,160.179993,159.130005,160.160004,129.931824,74
2013-12-09,160.289993,160.529999,160.110001,160.229996,129.988663,77
2013-12-10,159.770004,160.190002,159.639999,159.720001,129.574875,78
2013-12-11,159.839996,159.899994,158.229996,158.309998,128.43103,79
2013-12-12,158.210007,158.429993,157.070007,157.470001,127.749611,80
2013-12-13,157.539993,157.970001,157.100006,157.649994,127.895592,81
2013-12-16,158.369995,159.369995,158.25,158.899994,128.909607,84
2013-12-17,159.270004,159.289993,158.389999,158.779999,128.812347,85
2013-12-18,159.160004,161.789993,158.110001,161.759995,131.229858,86
2013-12-19,161.479996,162.009995,161.279999,161.880005,131.327179,87
2013-12-20,161.619995,162.529999,161.610001,162.009995,131.754089,88
2013-12-23,162.570007,162.850006,162.330002,162.619995,132.250214,91
2013-12-24,162.720001,163.259995,162.589996,163.160004,132.689514,92
2013-12-26,163.600006,164.490005,163.580002,164.460007,133.746674,94
2013-12-27,164.759995,164.919998,164.220001,164.470001,133.754807,95
2013-12-30,164.550003,164.679993,164.399994,164.589996,133.852386,98
2013-12-31,164.940002,165.509995,164.809998,165.470001,134.568054,99
2014-01-02,164.789993,165.009995,163.839996,164.110001,133.461975,101
2014-01-03,164.399994,164.869995,164.039993,164.389999,133.689713,102
2014-01-06,164.990005,165.059998,163.710007,163.889999,133.283173,105
2014-01-07,164.660004,165.289993,164.520004,164.970001,134.161407,106
2014-01-08,164.699997,164.830002,163.910004,164.350006,133.657196,107
2014-01-09,164.949997,164.990005,163.520004,164.190002,133.527054,108
2014-01-10,164.559998,164.690002,163.520004,164.179993,133.518936,109
2014-01-13,163.899994,164.279999,162.139999,162.240005,131.941254,112
2014-01-14,162.740005,163.470001,162.369995,163.449997,132.925262,113
2014-01-15,163.660004,164.800003,163.589996,164.570007,133.836121,114
2014-01-16,164.220001,164.330002,163.520004,163.979996,133.356308,115
2014-01-17,163.789993,164.589996,163.610001,164.080002,133.545837,116
2014-01-21,165.029999,165.050003,162.789993,163.729996,133.260986,120
2014-01-22,163.759995,163.800003,162.990005,163.470001,133.049377,121
2014-01-23,162.429993,162.429993,161.070007,161.710007,131.61702,122
2014-01-24,160.710007,160.889999,158.479996,158.479996,128.988052,123
2014-01-27,158.710007,159.110001,157.509995,158.020004,128.613663,126
2014-01-28,158.470001,159.169998,158.279999,158.940002,129.362442,127
2014-01-29,157.660004,158.25,156.75,157.100006,127.864815,128
2014-01-30,158.300003,158.770004,157.369995,158.169998,128.735733,129
2014-01-31,156.229996,157.699997,155.850006,156.75,127.579987,130
2014-02-03,156.570007,156.759995,153.25,153.529999,124.959221,133
2014-02-04,153.949997,154.529999,153.259995,154.080002,125.406845,134
2014-02-05,153.720001,154.509995,153.119995,154.179993,125.488243,135
2014-02-06,154.699997,156.149994,154.699997,156.139999,127.083488,136
2014-02-07,156.559998,157.800003,156.050003,157.779999,128.418274,137
2014-02-10,157.759995,157.820007,157.130005,157.75,128.393906,140
2014-02-11,158.059998,160.089996,157.940002,159.759995,130.029816,141
2014-02-12,160,160.449997,159.339996,159.710007,129.98912,142
2014-02-13,158.660004,160.470001,158.610001,160.289993,130.461197,143
2014-02-14,160.080002,161.830002,159.899994,161.589996,131.519363,144
2014-02-18,161.699997,161.759995,161.130005,161.410004,131.372757,148
2014-02-19,161.020004,162.339996,160.380005,160.520004,130.648407,149
2014-02-20,160.559998,161.720001,160.100006,161.309998,131.291321,150
2014-02-21,161.080002,161.619995,160.619995,160.809998,131.238281,151
2014-02-24,161.020004,162.690002,160.970001,161.660004,131.932114,154
2014-02-25,161.740005,162.240005,161.130005,161.5,131.801468,155
2014-02-26,161.710007,162.259995,161.270004,161.839996,132.078918,156
2014-02-27,161.639999,162.559998,161.369995,162.550003,132.658463,157
2014-02-28,162.559998,163.770004,162.009995,163.020004,133.04187,158
2014-03-03,161.589996,162.190002,160.490005,161.490005,131.793274,161
2014-03-04,163.130005,164,163.050003,163.630005,133.53981,162
2014-03-05,163.779999,163.820007,163.210007,163.350006,133.311295,163
2014-03-06,163.820007,164.309998,163.759995,164.089996,133.915192,164
2014-03-07,164.759995,164.889999,163.809998,164.339996,134.119232,165
2014-03-10,164.050003,164.160004,163.179993,163.990005,133.833572,168
2014-03-11,164.279999,164.490005,163.110001,163.419998,133.368423,169
2014-03-12,162.660004,163.570007,162.470001,163.229996,133.213303,170
2014-03-13,163.740005,164.029999,160.779999,161.050003,131.434189,171
2014-03-14,160.729996,161.600006,160.380005,160.649994,131.107819,172
2014-03-17,161.399994,162.669998,161.330002,162.369995,132.511475,175
2014-03-18,162.690002,163.639999,162.550003,163.279999,133.254181,176
2014-03-19,163.259995,163.570007,161.149994,162.190002,132.364548,177
2014-03-20,161.850006,163.470001,161.479996,163.300003,133.270477,178
2014-03-21,163.470001,164.199997,162.529999,162.630005,132.953262,179
2014-03-24,163.130005,163.460007,161.779999,162.440002,132.798035,182
2014-03-25,163.369995,163.720001,162.570007,163.389999,133.57457,183
2014-03-26,164.070007,164.330002,162.320007,162.330002,132.707977,184
2014-03-27,162.25,162.679993,161.539993,162.279999,132.667053,185
2014-03-28,162.610001,163.820007,162.320007,162.850006,133.133133,186
2014-03-31,163.720001,164.460007,163.639999,164.240005,134.269455,189
2014-04-01,164.669998,165.309998,164.580002,164.949997,134.849854,190
2014-04-02,165.190002,165.570007,164.75,165.369995,135.193237,191
2014-04-03,165.720001,165.75,164.960007,165.339996,135.168808,192
2014-04-04,166.009995,166.059998,163.580002,163.880005,133.975204,193
2014-04-07,163.580002,163.929993,162.119995,162.160004,132.569046,196
2014-04-08,162.100006,162.729996,161.550003,162.330002,132.707977,197
2014-04-09,163,164.139999,162.429993,164.100006,134.154984,198
2014-04-10,164.119995,164.309998,161.270004,161.470001,132.005005,199
2014-04-11,160.669998,161.320007,159.880005,160.020004,130.81955,200
2014-04-14,161.080002,161.619995,160.270004,161.449997,131.988602,203
2014-04-15,161.669998,162.470001,160.380005,162.360001,132.732483,204
2014-04-16,163.429993,164.029999,162.929993,164.020004,134.089539,205
2014-04-17,163.610001,164.190002,163.330002,163.75,133.976685,206
2014-04-21,163.839996,164.25,163.699997,164.029999,134.20575,210
2014-04-22,164.300003,165.300003,164.229996,164.800003,134.835739,211
2014-04-23,164.940002,164.990005,164.449997,164.639999,134.70488,212
2014-04-24,165.009995,165.110001,164.190002,164.690002,134.745834,213
2014-04-25,164.080002,164.190002,163,163.350006,133.649384,214
2014-04-28,164.130005,164.690002,162.779999,164.169998,134.320328,217
2014-04-29,164.619995,165.270004,164.490005,165,134.99942,218
2014-04-30,164.919998,165.600006,164.830002,165.449997,135.367584,219
2014-05-01,165.300003,165.710007,164.899994,165.229996,135.187607,220
2014-05-02,165.160004,165.850006,164.529999,164.75,134.794891,221
2014-05-05,163.970001,165.169998,163.449997,164.929993,134.942215,224
2014-05-06,164.660004,164.679993,163.679993,163.729996,133.960419,225
2014-05-07,164.509995,165.080002,163.389999,165.029999,135.023987,226
2014-05-08,165.020004,166.070007,164.860001,165.350006,135.285812,227
2014-05-09,165.289993,165.779999,164.869995,165.720001,135.588562,228
2014-05-12,166.309998,166.929993,166.279999,166.800003,136.472183,231
2014-05-13,167.100006,167.289993,166.949997,167.050003,136.676651,232
2014-05-14,167.089996,167.139999,165.919998,166.110001,135.907623,233
2014-05-15,165.779999,165.869995,164.020004,164.550003,134.631256,234
2014-05-16,164.160004,164.639999,163.770004,164.610001,135.025864,235
2014-05-19,164.139999,164.910004,164.029999,164.710007,135.10791,238
2014-05-20,164.699997,164.720001,163.039993,163.320007,133.967606,239
2014-05-21,163.949997,165.149994,163.889999,164.979996,135.329269,240
2014-05-22,165.089996,165.389999,164.600006,165.179993,135.493393,241
