Date,Adj Close,Day
2013-09-23,124.327232,0
2013-09-24,123.801506,1
2013-09-25,123.283859,2
2013-09-26,123.71254,3
2013-09-27,123.113937,4
2013-09-30,122.135284,7
2013-10-01,122.636726,8
2013-10-02,122.11911,9
2013-10-03,121.05957,10
2013-10-04,121.674217,11
2013-10-07,120.517548,14
2013-10-08,119.328537,15
2013-10-09,119.530731,16
2013-10-10,122.102852,17
2013-10-11,123.081566,18
2013-10-14,123.591202,21
2013-10-15,122.410202,22
2013-10-16,124.173607,23
2013-10-17,124.141159,24
2013-10-18,124.375999,25
2013-10-21,124.319351,28
2013-10-22,124.902367,29
2013-10-23,124.55423,30
2013-10-24,125.34771,31
2013-10-25,125.873985,32
2013-10-28,125.809288,35
2013-10-29,126.724266,36
2013-10-30,126.214081,37
2013-10-31,125.744553,38
2013-11-01,126.206032,39
2013-11-04,126.367973,42
2013-11-05,126.230408,43
2013-11-06,127.30732,44
2013-11-07,126.197968,45
2013-11-08,127.52597,46
2013-11-11,127.623161,49
2013-11-12,127.428749,50
2013-11-13,127.98745,51
2013-11-14,128.529938,52
2013-11-15,129.234192,53
2013-11-18,129.347794,56
2013-11-19,129.258469,57
2013-11-20,128.80426,58
2013-11-21,129.688461,59
2013-11-22,130.12648,60
2013-11-25,130.296906,63
2013-11-26,130.207642,64
2013-11-27,130.491577,65
2013-11-29,130.386154,67
2013-12-02,129.737183,70
2013-12-03,128.982681,71
2013-12-04,128.796051,72
2013-12-05,128.276855,73
2013-12-06,129.931824,74
2013-12-09,129.988663,77
2013-12-10,129.574875,78
2013-12-11,128.43103,79
2013-12-12,127.749611,80
2013-12-13,127.895592,81
2013-12-16,128.909607,84
2013-12-17,128.812347,85
2013-12-18,131.229858,86
2013-12-19,131.327179,87
2013-12-20,131.754089,88
2013-12-23,132.250214,91
2013-12-24,132.689514,92
2013-12-26,133.746674,94
2013-12-27,133.754807,95
2013-12-30,133.852386,98
2013-12-31,134.568054,99
2014-01-02,133.461975,101
2014-01-03,133.689713,102
2014-01-06,133.283173,105
2014-01-07,134.161407,106
2014-01-08,133.657196,107
2014-01-09,133.527054,108
2014-01-10,133.518936,109
2014-01-13,131.941254,112
2014-01-14,132.925262,113
2014-01-15,133.836121,114
2014-01-16,133.356308,115
2014-01-17,133.545837,116
2014-01-21,133.260986,120
2014-01-22,133.049377,121
2014-01-23,131.61702,122
2014-01-24,128.988052,123
2014-01-27,128.613663,126
2014-01-28,129.362442,127
2014-01-29,127.864815,128
2014-01-30,128.735733,129
2014-01-31,127.579987,130
2014-02-03,124.959221,133
2014-02-04,125.406845,134
2014-02-05,125.488243,135
2014-02-06,127.083488,136
2014-02-07,128.418274,137
2014-02-10,128.393906,140
2014-02-11,130.029816,141
2014-02-12,129.98912,142
2014-02-13,130.461197,143
2014-02-14,131.519363,144
2014-02-18,131.372757,148
2014-02-19,130.648407,149
2014-02-20,131.291321,150
2014-02-21,131.238281,151
2014-02-24,131.932114,154
2014-02-25,131.801468,155
2014-02-26,132.078918,156
2014-02-27,132.658463,157
2014-02-28,133.04187,158
2014-03-03,131.793274,161
2014-03-04,133.53981,162
2014-03-05,133.311295,163
2014-03-06,133.915192,164
2014-03-07,134.119232,165
2014-03-10,133.833572,168
2014-03-11,133.368423,169
2014-03-12,133.213303,170
2014-03-13,131.434189,171
2014-03-14,131.107819,172
2014-03-17,132.511475,175
2014-03-18,133.254181,176
2014-03-19,132.364548,177
2014-03-20,133.270477,178
2014-03-21,132.953262,179
2014-03-24,132.798035,182
2014-03-25,133.57457,183
2014-03-26,132.707977,184
2014-03-27,132.667053,185
2014-03-28,133.133133,186
2014-03-31,134.269455,189
2014-04-01,134.849854,190
2014-04-02,135.193237,191
2014-04-03,135.168808,192
2014-04-04,133.975204,193
2014-04-07,132.569046,196
2014-04-08,132.707977,197
2014-04-09,134.154984,198
2014-04-10,132.005005,199
2014-04-11,130.81955,200
2014-04-14,131.988602,203
2014-04-15,132.732483,204
2014-04-16,134.089539,205
2014-04-17,133.976685,206
2014-04-21,134.20575,210
2014-04-22,134.835739,211
2014-04-23,134.70488,212
2014-04-24,134.745834,213
2014-04-25,133.649384,214
2014-04-28,134.320328,217
2014-04-29,134.99942,218
2014-04-30,135.367584,219
2014-05-01,135.187607,220
2014-05-02,134.794891,221
2014-05-05,134.942215,224
2014-05-06,133.960419,225
2014-05-07,135.023987,226
2014-05-08,135.285812,227
2014-05-09,135.588562,228
2014-05-12,136.472183,231
2014-05-13,136.676651,232
2014-05-14,135.907623,233
2014-05-15,134.631256,234
2014-05-16,135.025864,235
2014-05-19,135.10791,238
2014-05-20,133.967606,239
2014-05-21,135.329269,240
2014-05-22,135.493393,241
2014-05-23,136.026657,242
2014-05-27,136.551498,246
2014-05-28,136.239868,247
2014-05-29,136.805878,248
2014-05-30,136.928772,249
2014-06-02,137.15033,252
2014-06-03,137.002716,253
2014-06-04,137.092896,254
2014-06-05,137.921448,255
2014-06-06,138.692398,256
2014-06-09,138.8237,259
2014-06-10,138.913956,260
2014-06-11,138.093674,261
2014-06-12,137.224152,262
2014-06-13,137.494873,263
2014-06-16,137.552261,266
